weight,time,chick,diet
42,0,S01,D1
51,2,S01,D1
59,4,S01,D1
64,6,S01,D1
76,8,S01,D1
93,10,S01,D1
106,12,S01,D1
125,14,S01,D1
149,16,S01,D1
171,18,S01,D1
199,20,S01,D1
205,21,S01,D1
40,0,S02,D1
49,2,S02,D1
58,4,S02,D1
72,6,S02,D1
84,8,S02,D1
103,10,S02,D1
122,12,S02,D1
138,14,S02,D1
162,16,S02,D1
187,18,S02,D1
209,20,S02,D1
215,21,S02,D1
43,0,S03,D1
39,2,S03,D1
55,4,S03,D1
67,6,S03,D1
84,8,S03,D1
99,10,S03,D1
115,12,S03,D1
138,14,S03,D1
163,16,S03,D1
187,18,S03,D1
198,20,S03,D1
202,21,S03,D1
42,0,S04,D1
49,2,S04,D1
56,4,S04,D1
67,6,S04,D1
74,8,S04,D1
87,10,S04,D1
102,12,S04,D1
108,14,S04,D1
136,16,S04,D1
154,18,S04,D1
160,20,S04,D1
157,21,S04,D1
41,0,S05,D1
42,2,S05,D1
48,4,S05,D1
60,6,S05,D1
79,8,S05,D1
106,10,S05,D1
141,12,S05,D1
164,14,S05,D1
197,16,S05,D1
199,18,S05,D1
220,20,S05,D1
223,21,S05,D1
41,0,S06,D1
49,2,S06,D1
59,4,S06,D1
74,6,S06,D1
97,8,S06,D1
124,10,S06,D1
141,12,S06,D1
148,14,S06,D1
155,16,S06,D1
160,18,S06,D1
160,20,S06,D1
157,21,S06,D1
41,0,S07,D1
49,2,S07,D1
57,4,S07,D1
71,6,S07,D1
89,8,S07,D1
112,10,S07,D1
146,12,S07,D1
174,14,S07,D1
218,16,S07,D1
250,18,S07,D1
288,20,S07,D1
305,21,S07,D1
42,0,S08,D1
50,2,S08,D1
61,4,S08,D1
71,6,S08,D1
84,8,S08,D1
93,10,S08,D1
110,12,S08,D1
116,14,S08,D1
126,16,S08,D1
134,18,S08,D1
125,20,S08,D1
42,0,S09,D1
51,2,S09,D1
59,4,S09,D1
68,6,S09,D1
85,8,S09,D1
96,10,S09,D1
90,12,S09,D1
92,14,S09,D1
93,16,S09,D1
100,18,S09,D1
100,20,S09,D1
98,21,S09,D1
41,0,S10,D1
44,2,S10,D1
52,4,S10,D1
63,6,S10,D1
74,8,S10,D1
81,10,S10,D1
89,12,S10,D1
96,14,S10,D1
101,16,S10,D1
112,18,S10,D1
120,20,S10,D1
124,21,S10,D1
43,0,S11,D1
51,2,S11,D1
63,4,S11,D1
84,6,S11,D1
112,8,S11,D1
139,10,S11,D1
168,12,S11,D1
177,14,S11,D1
182,16,S11,D1
184,18,S11,D1
181,20,S11,D1
175,21,S11,D1
41,0,S12,D1
49,2,S12,D1
56,4,S12,D1
62,6,S12,D1
72,8,S12,D1
88,10,S12,D1
119,12,S12,D1
135,14,S12,D1
162,16,S12,D1
185,18,S12,D1
195,20,S12,D1
205,21,S12,D1
41,0,S13,D1
48,2,S13,D1
53,4,S13,D1
60,6,S13,D1
65,8,S13,D1
67,10,S13,D1
71,12,S13,D1
70,14,S13,D1
71,16,S13,D1
81,18,S13,D1
91,20,S13,D1
96,21,S13,D1
41,0,S14,D1
49,2,S14,D1
62,4,S14,D1
79,6,S14,D1
101,8,S14,D1
128,10,S14,D1
164,12,S14,D1
192,14,S14,D1
227,16,S14,D1
248,18,S14,D1
259,20,S14,D1
266,21,S14,D1
41,0,S15,D1
49,2,S15,D1
56,4,S15,D1
64,6,S15,D1
68,8,S15,D1
68,10,S15,D1
67,12,S15,D1
68,14,S15,D1
41,0,S16,D1
45,2,S16,D1
49,4,S16,D1
51,6,S16,D1
57,8,S16,D1
51,10,S16,D1
54,12,S16,D1
42,0,S17,D1
51,2,S17,D1
61,4,S17,D1
72,6,S17,D1
83,8,S17,D1
89,10,S17,D1
98,12,S17,D1
103,14,S17,D1
113,16,S17,D1
123,18,S17,D1
133,20,S17,D1
142,21,S17,D1
39,0,S18,D1
35,2,S18,D1
43,0,S19,D1
48,2,S19,D1
55,4,S19,D1
62,6,S19,D1
65,8,S19,D1
71,10,S19,D1
82,12,S19,D1
88,14,S19,D1
106,16,S19,D1
120,18,S19,D1
144,20,S19,D1
157,21,S19,D1
41,0,S20,D1
47,2,S20,D1
54,4,S20,D1
58,6,S20,D1
65,8,S20,D1
73,10,S20,D1
77,12,S20,D1
89,14,S20,D1
98,16,S20,D1
107,18,S20,D1
115,20,S20,D1
117,21,S20,D1
40,0,S21,D2
50,2,S21,D2
62,4,S21,D2
86,6,S21,D2
125,8,S21,D2
163,10,S21,D2
217,12,S21,D2
240,14,S21,D2
275,16,S21,D2
307,18,S21,D2
318,20,S21,D2
331,21,S21,D2
41,0,S22,D2
55,2,S22,D2
64,4,S22,D2
77,6,S22,D2
90,8,S22,D2
95,10,S22,D2
108,12,S22,D2
111,14,S22,D2
131,16,S22,D2
148,18,S22,D2
164,20,S22,D2
167,21,S22,D2
43,0,S23,D2
52,2,S23,D2
61,4,S23,D2
73,6,S23,D2
90,8,S23,D2
103,10,S23,D2
127,12,S23,D2
135,14,S23,D2
145,16,S23,D2
163,18,S23,D2
170,20,S23,D2
175,21,S23,D2
42,0,S24,D2
52,2,S24,D2
58,4,S24,D2
74,6,S24,D2
66,8,S24,D2
68,10,S24,D2
70,12,S24,D2
71,14,S24,D2
72,16,S24,D2
72,18,S24,D2
76,20,S24,D2
74,21,S24,D2
40,0,S25,D2
49,2,S25,D2
62,4,S25,D2
78,6,S25,D2
102,8,S25,D2
124,10,S25,D2
146,12,S25,D2
164,14,S25,D2
197,16,S25,D2
231,18,S25,D2
259,20,S25,D2
265,21,S25,D2
42,0,S26,D2
48,2,S26,D2
57,4,S26,D2
74,6,S26,D2
93,8,S26,D2
114,10,S26,D2
136,12,S26,D2
147,14,S26,D2
169,16,S26,D2
205,18,S26,D2
236,20,S26,D2
251,21,S26,D2
39,0,S27,D2
46,2,S27,D2
58,4,S27,D2
73,6,S27,D2
87,8,S27,D2
100,10,S27,D2
115,12,S27,D2
123,14,S27,D2
144,16,S27,D2
163,18,S27,D2
185,20,S27,D2
192,21,S27,D2
39,0,S28,D2
46,2,S28,D2
58,4,S28,D2
73,6,S28,D2
92,8,S28,D2
114,10,S28,D2
145,12,S28,D2
156,14,S28,D2
184,16,S28,D2
207,18,S28,D2
212,20,S28,D2
233,21,S28,D2
39,0,S29,D2
48,2,S29,D2
59,4,S29,D2
74,6,S29,D2
87,8,S29,D2
106,10,S29,D2
134,12,S29,D2
150,14,S29,D2
187,16,S29,D2
230,18,S29,D2
279,20,S29,D2
309,21,S29,D2
42,0,S30,D2
48,2,S30,D2
59,4,S30,D2
72,6,S30,D2
85,8,S30,D2
98,10,S30,D2
115,12,S30,D2
122,14,S30,D2
143,16,S30,D2
151,18,S30,D2
157,20,S30,D2
150,21,S30,D2
42,0,S31,D3
53,2,S31,D3
62,4,S31,D3
73,6,S31,D3
85,8,S31,D3
102,10,S31,D3
123,12,S31,D3
138,14,S31,D3
170,16,S31,D3
204,18,S31,D3
235,20,S31,D3
256,21,S31,D3
41,0,S32,D3
49,2,S32,D3
65,4,S32,D3
82,6,S32,D3
107,8,S32,D3
129,10,S32,D3
159,12,S32,D3
179,14,S32,D3
221,16,S32,D3
263,18,S32,D3
291,20,S32,D3
305,21,S32,D3
39,0,S33,D3
50,2,S33,D3
63,4,S33,D3
77,6,S33,D3
96,8,S33,D3
111,10,S33,D3
137,12,S33,D3
144,14,S33,D3
151,16,S33,D3
146,18,S33,D3
156,20,S33,D3
147,21,S33,D3
41,0,S34,D3
49,2,S34,D3
63,4,S34,D3
85,6,S34,D3
107,8,S34,D3
134,10,S34,D3
164,12,S34,D3
186,14,S34,D3
235,16,S34,D3
294,18,S34,D3
327,20,S34,D3
341,21,S34,D3
41,0,S35,D3
53,2,S35,D3
64,4,S35,D3
87,6,S35,D3
123,8,S35,D3
158,10,S35,D3
201,12,S35,D3
238,14,S35,D3
287,16,S35,D3
332,18,S35,D3
361,20,S35,D3
373,21,S35,D3
39,0,S36,D3
48,2,S36,D3
61,4,S36,D3
76,6,S36,D3
98,8,S36,D3
116,10,S36,D3
145,12,S36,D3
166,14,S36,D3
198,16,S36,D3
227,18,S36,D3
225,20,S36,D3
220,21,S36,D3
41,0,S37,D3
48,2,S37,D3
56,4,S37,D3
68,6,S37,D3
80,8,S37,D3
83,10,S37,D3
103,12,S37,D3
112,14,S37,D3
135,16,S37,D3
157,18,S37,D3
169,20,S37,D3
178,21,S37,D3
41,0,S38,D3
49,2,S38,D3
61,4,S38,D3
74,6,S38,D3
98,8,S38,D3
109,10,S38,D3
128,12,S38,D3
154,14,S38,D3
192,16,S38,D3
232,18,S38,D3
280,20,S38,D3
290,21,S38,D3
42,0,S39,D3
50,2,S39,D3
61,4,S39,D3
78,6,S39,D3
89,8,S39,D3
109,10,S39,D3
130,12,S39,D3
146,14,S39,D3
170,16,S39,D3
214,18,S39,D3
250,20,S39,D3
272,21,S39,D3
41,0,S40,D3
55,2,S40,D3
66,4,S40,D3
79,6,S40,D3
101,8,S40,D3
120,10,S40,D3
154,12,S40,D3
