y,x
92.9,0.5
78.7,0.625
64.2,0.75
64.9,0.875
57.1,1
43.3,1.25
31.1,1.75
23.6,2.25
31.05,1.75
23.775,2.25
17.7375,2.75
13.8,3.25
11.5875,3.75
9.4125,4.25
7.725,4.75
7.35,5.25
8.025,5.75
90.6,0.5
76.9,0.625
71.6,0.75
63.6,0.875
54,1
39.2,1.25
29.3,1.75
21.4,2.25
29.175,1.75
22.125,2.25
17.5125,2.75
14.25,3.25
9.45,3.75
9.15,4.25
7.9125,4.75
8.475,5.25
6.1125,5.75
80,0.5
79,0.625
63.8,0.75
57.2,0.875
53.2,1
42.5,1.25
26.8,1.75
20.4,2.25
26.85,1.75
21,2.25
16.4625,2.75
12.525,3.25
10.5375,3.75
8.5875,4.25
7.125,4.75
6.1125,5.25
5.9625,5.75
74.1,0.5
67.3,0.625
60.8,0.75
55.5,0.875
50.3,1
41,1.25
29.4,1.75
20.4,2.25
29.3625,1.75
21.15,2.25
16.7625,2.75
13.2,3.25
10.875,3.75
8.175,4.25
7.35,4.75
5.9625,5.25
5.625,5.75
81.5,0.5
62.4,0.75
32.5,1.5
12.41,3
13.12,3
15.56,3
5.63,6
78,0.5
59.9,0.75
33.2,1.5
13.84,3
12.75,3
14.62,3
3.94,6
76.8,0.5
61,0.75
32.9,1.5
13.87,3
11.81,3
13.31,3
5.44,6
78,0.5
63.5,0.75
33.8,1.5
12.56,3
5.63,6
12.75,3
13.12,3
5.44,6
76.8,0.5
60,0.75
47.8,1
32,1.5
22.2,2
22.57,2
18.82,2.5
13.95,3
11.25,4
9,5
6.67,6
75.8,0.5
62,0.75
48.8,1
35.2,1.5
20,2
20.32,2
19.31,2.5
12.75,3
10.42,4
7.31,5
7.42,6
70.5,0.5
59.5,0.75
48.5,1
35.8,1.5
21,2
21.67,2
21,2.5
15.64,3
8.17,4
8.55,5
10.12,6
78,0.5
66,0.625
62,0.75
58,0.875
47.7,1
37.8,1.25
20.2,2.25
21.07,2.25
13.87,2.75
9.67,3.25
7.76,3.75
5.44,4.25
4.87,4.75
4.01,5.25
3.75,5.75
24.19,3
25.76,3
18.07,3
11.81,3
12.07,3
16.12,3
70.8,0.5
54.7,0.75
48,1
39.8,1.5
29.8,2
23.7,2.5
29.62,2
23.81,2.5
17.7,3
11.55,4
12.07,5
8.74,6
80.7,0.5
61.3,0.75
47.5,1
29,1.5
24,2
17.7,2.5
24.56,2
18.67,2.5
16.24,3
8.74,4
7.87,5
8.51,6
66.7,0.5
59.2,0.75
40.8,1
30.7,1.5
25.7,2
16.3,2.5
25.99,2
16.95,2.5
13.35,3
8.62,4
7.2,5
6.64,6
13.69,3
81,0.5
64.5,0.75
35.5,1.5
13.31,3
4.87,6
12.94,3
5.06,6
15.19,3
14.62,3
15.64,3
25.5,1.75
25.95,1.75
81.7,0.5
61.6,0.75
29.8,1.75
29.81,1.75
17.17,2.75
10.39,3.75
28.4,1.75
28.69,1.75
81.3,0.5
60.9,0.75
16.65,2.75
10.05,3.75
28.9,1.75
28.95,1.75
