run,conc,density
R01,0.04882812,0.017
R01,0.04882812,0.018
R01,0.1953125,0.121
R01,0.1953125,0.124
R01,0.390625,0.206
R01,0.390625,0.215
R01,0.78125,0.377
R01,0.78125,0.374
R01,1.5625,0.614
R01,1.5625,0.609
R01,3.125,1.019
R01,3.125,1.001
R01,6.25,1.334
R01,6.25,1.364
R01,12.5,1.73
R01,12.5,1.71
R02,0.04882812,0.045
R02,0.04882812,0.05
R02,0.1953125,0.137
R02,0.1953125,0.123
R02,0.390625,0.225
R02,0.390625,0.207
R02,0.78125,0.401
R02,0.78125,0.383
R02,1.5625,0.672
R02,1.5625,0.681
R02,3.125,1.116
R02,3.125,1.078
R02,6.25,1.554
R02,6.25,1.526
R02,12.5,1.932
R02,12.5,1.914
R03,0.04882812,0.07
R03,0.04882812,0.068
R03,0.1953125,0.173
R03,0.1953125,0.165
R03,0.390625,0.277
R03,0.390625,0.248
R03,0.78125,0.434
R03,0.78125,0.426
R03,1.5625,0.703
R03,1.5625,0.689
R03,3.125,1.067
R03,3.125,1.077
R03,6.25,1.629
R03,6.25,1.479
R03,12.5,2.003
R03,12.5,1.884
R04,0.04882812,0.011
R04,0.04882812,0.016
R04,0.1953125,0.118
R04,0.1953125,0.108
R04,0.390625,0.2
R04,0.390625,0.206
R04,0.78125,0.364
R04,0.78125,0.36
R04,1.5625,0.62
R04,1.5625,0.64
R04,3.125,0.979
R04,3.125,0.973
R04,6.25,1.424
R04,6.25,1.399
R04,12.5,1.74
R04,12.5,1.732
R05,0.04882812,0.035
R05,0.04882812,0.035
R05,0.1953125,0.132
R05,0.1953125,0.135
R05,0.390625,0.224
R05,0.390625,0.22
R05,0.78125,0.385
R05,0.78125,0.39
R05,1.5625,0.658
R05,1.5625,0.647
R05,3.125,1.06
R05,3.125,1.031
R05,6.25,1.425
R05,6.25,1.409
R05,12.5,1.75
R05,12.5,1.738
R06,0.04882812,0.086
R06,0.04882812,0.103
R06,0.1953125,0.191
R06,0.1953125,0.189
R06,0.390625,0.272
R06,0.390625,0.277
R06,0.78125,0.44
R06,0.78125,0.426
R06,1.5625,0.686
R06,1.5625,0.676
R06,3.125,1.062
R06,3.125,1.072
R06,6.25,1.424
R06,6.25,1.459
R06,12.5,1.768
R06,12.5,1.806
R07,0.04882812,0.094
R07,0.04882812,0.092
R07,0.1953125,0.182
R07,0.1953125,0.182
R07,0.390625,0.282
R07,0.390625,0.273
R07,0.78125,0.444
R07,0.78125,0.439
R07,1.5625,0.686
R07,1.5625,0.668
R07,3.125,1.052
R07,3.125,1.035
R07,6.25,1.409
R07,6.25,1.392
R07,12.5,1.759
R07,12.5,1.739
R08,0.04882812,0.054
R08,0.04882812,0.054
R08,0.1953125,0.152
R08,0.1953125,0.148
R08,0.390625,0.226
R08,0.390625,0.222
R08,0.78125,0.392
R08,0.78125,0.383
R08,1.5625,0.658
R08,1.5625,0.644
R08,3.125,1.043
R08,3.125,1.002
R08,6.25,1.466
R08,6.25,1.381
R08,12.5,1.743
R08,12.5,1.724
R09,0.04882812,0.032
R09,0.04882812,0.043
R09,0.1953125,0.142
R09,0.1953125,0.155
R09,0.390625,0.239
R09,0.390625,0.242
R09,0.78125,0.42
R09,0.78125,0.395
R09,1.5625,0.624
R09,1.5625,0.705
R09,3.125,1.046
R09,3.125,1.026
R09,6.25,1.398
R09,6.25,1.405
R09,12.5,1.693
R09,12.5,1.729
R10,0.04882812,0.052
R10,0.04882812,0.094
R10,0.1953125,0.164
R10,0.1953125,0.166
R10,0.390625,0.259
R10,0.390625,0.256
R10,0.78125,0.439
R10,0.78125,0.439
R10,1.5625,0.69
R10,1.5625,0.701
R10,3.125,1.042
R10,3.125,1.075
R10,6.25,1.34
R10,6.25,1.406
R10,12.5,1.699
R10,12.5,1.708
R11,0.04882812,0.047
R11,0.04882812,0.057
R11,0.1953125,0.159
R11,0.1953125,0.155
R11,0.390625,0.246
R11,0.390625,0.252
R11,0.78125,0.427
R11,0.78125,0.411
R11,1.5625,0.704
R11,1.5625,0.684
R11,3.125,0.994
R11,3.125,0.98
R11,6.25,1.421
R11,6.25,1.385
R11,12.5,1.715
R11,12.5,1.721
