y,x
12.9,1
11.3,2
10.6,3
11.2,4
10.9,5
7.5,6
7.7,7
11.7,8
12.9,9
14.3,10
10.9,11
13.7,12
17.1,13
14,14
15.3,15
8.5,16
5.7,17
5.5,18
7.6,19
8.6,20
7.3,21
7.6,22
12.7,23
11,24
12.7,25
12.9,26
13,27
10.9,28
10.4,29
10.2,30
8,31
10.9,32
13.6,33
10.5,34
9.2,35
12.4,36
12.7,37
13.3,38
10.1,39
7.8,40
4.8,41
3,42
2.5,43
6.3,44
9.7,45
11.6,46
8.6,47
12.4,48
10.5,49
13.3,50
10.4,51
8.1,52
3.7,53
10.7,54
5.1,55
10.4,56
10.9,57
11.7,58
11.4,59
13.7,60
14.1,61
14,62
12.5,63
6.3,64
9.6,65
11.7,66
5,67
10.8,68
12.7,69
10.8,70
11.8,71
12.6,72
15.7,73
12.6,74
14.8,75
7.8,76
7.1,77
11.2,78
8.1,79
6.4,80
5.2,81
12,82
10.2,83
12.7,84
10.2,85
14.7,86
12.2,87
7.1,88
5.7,89
6.7,90
3.9,91
8.5,92
8.3,93
10.8,94
16.7,95
12.6,96
12.5,97
12.5,98
9.8,99
7.2,100
4.1,101
10.6,102
10.1,103
10.1,104
11.9,105
13.6,106
16.3,107
17.6,108
15.5,109
16,110
15.2,111
11.2,112
14.3,113
14.5,114
8.5,115
12,116
12.7,117
11.3,118
14.5,119
15.1,120
10.4,121
11.5,122
13.4,123
7.5,124
0.6,125
0.3,126
5.5,127
5,128
4.6,129
8.2,130
9.9,131
9.2,132
12.5,133
10.9,134
9.9,135
8.9,136
7.6,137
9.5,138
8.4,139
10.7,140
13.6,141
13.7,142
13.7,143
16.5,144
16.8,145
17.1,146
15.4,147
9.5,148
6.1,149
10.1,150
9.3,151
5.3,152
11.2,153
16.6,154
15.6,155
12,156
11.5,157
8.6,158
13.8,159
8.7,160
8.6,161
8.6,162
8.7,163
12.8,164
13.2,165
14,166
13.4,167
14.8,168
